Categoria,Título,Caminho,URL Completa,Breadcrumb,Source
acoes-sid,SID.Int.ConsultarCartaoPresente (IVME) - Consultar Cartão Presente,/acoes-sid/sid-int-consultarcartaopresente.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-int-consultarcartaopresente.htm,,chunk_0
acoes-sid,SID.Int.ConsumirCartaoPresente (IVME) - Consumir Cartão Presente,/acoes-sid/sid-int-consumircartaopresente.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-int-consumircartaopresente.htm,,chunk_0
acoes-sid,SID.Int.GravarCartaoPresente (IVME) - Gravar Cartão Presente,/acoes-sid/sid-int-gravarcartaopresente.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-int-gravarcartaopresente.htm,,chunk_0
acoes-sid,SID.Lct.ExcluirLote (CCCT) - Excluir Lote Contábil,/acoes-sid/sid-lct-excluirlote.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-lct-excluirlote.htm,,chunk_0
acoes-sid,SID.Lct.GerarLote (CCCT) - Gerar Lote Contábil,/acoes-sid/sid-lct-gerarlote.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-lct-gerarlote.htm,,chunk_0
acoes-sid,SID.Lct.Gravar (CCCT) - Gerar Lançamento,/acoes-sid/sid-lct-gravar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-lct-gravar.htm,,chunk_0
acoes-sid,SID.Nfc.Cancelar (SRNF) - Cancelar Nota Fiscal Compra,/acoes-sid/sid-nfc-cancelar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-cancelar.htm,,chunk_0
acoes-sid,SID.Nfc.Fechar (SRNF) - Fechar Nota Fiscal Compra,/acoes-sid/sid-nfc-fechar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-fechar.htm,,chunk_0
acoes-sid,SID.Nfc.GerarNFCOrdemCompra (SRNF) - Gerar Nota Fiscal Via Ordem De Compra,/acoes-sid/sid-nfc-gerarnfcordemcompra.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gerarnfcordemcompra.htm,,chunk_0
acoes-sid,SID.Nfc.Gravar (SRNF) - Gravar Cabeçalho Da Nota Fiscal Compra (Incluir),/acoes-sid/sid-nfc-gravar.htm,https://documentacao.senior.com.br/gestaoempresarialerp/5.10.4/acoes-sid/sid-nfc-gravar.htm,,chunk_0
